"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2024-04-12 00:00:00","2024-04-12 11:00:00","Visitacion Valley","Larceny Theft","Larceny Theft","Open or Active","Ingleside","License Plate, Stolen","240230182"
"2024-04-12 00:00:00","2024-04-12 11:03:00","Lakeshore","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Building, $200-$950","240233904"
"2024-04-12 00:00:00","2024-04-12 11:09:00","Pacific Heights","Burglary","Burglary","Open or Active","Northern","Burglary, Residence Under Constr, Unlawful Entry","240229828"
"2024-04-12 00:00:00","2024-04-12 11:13:00","McLaren Park","Suspicious Occ","Suspicious Occ","Open or Active","Ingleside","Suspicious Occurrence","240218592"
"2024-04-12 00:00:00","2024-04-12 11:15:00","Chinatown","Lost Property","Lost Property","Open or Active","Central","Lost Property","240229997"
"2024-04-12 00:00:00","2024-04-12 11:30:00","Japantown","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","240229721"
"2024-04-12 00:00:00","2024-04-12 11:43:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Building, $50-$200","240231594"
"2024-04-12 00:00:00","2024-04-12 12:00:00","Golden Gate Park","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, $200-$950","240230035"
"2024-04-12 00:00:00","2024-04-12 12:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, Vehicle Strip, $200-$950","240231419"
"2024-04-12 00:00:00","2024-04-12 12:00:00","West of Twin Peaks","Fraud","Fraud","Open or Active","Ingleside","False Personation","240231334"
"2024-04-12 00:00:00","2024-04-12 12:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, >$950","240231419"
"2024-04-12 00:00:00","2024-04-12 12:05:00","Lakeshore","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, >$950","240230091"
"2024-04-12 00:00:00","2024-04-12 12:18:00","Mission Bay","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Trespassing","240229618"
"2024-04-12 00:00:00","2024-04-12 12:18:00","Mission Bay","Assault","Assault","Open or Active","Southern","Battery","240229618"
"2024-04-12 00:00:00","2024-04-12 12:20:00","Bayview Hunters Point","Larceny Theft","Larceny Theft","Open or Active","Bayview","Theft, From Person, >$950 (other than Pickpocket)","240229630"
"2024-04-12 00:00:00","2024-04-12 12:23:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Person, <$50 (other than Pickpocket)","240229715"
"2024-04-12 00:00:00","2024-04-12 12:23:00","Mission","Assault","Assault","Open or Active","Mission","Battery","240229715"
"2024-04-12 00:00:00","2024-04-12 12:30:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Bayview","Mental Health Detention","240229743"
"2024-04-12 00:00:00","2024-04-12 12:30:00","Twin Peaks","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Building, <$50","240231867"
"2024-04-12 00:00:00","2024-04-12 12:30:00","Glen Park","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Auto","240229947"
"2024-04-12 00:00:00","2024-04-12 12:40:00","Portola","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Truck","240229157"
"2024-04-12 00:00:00","2024-04-12 12:40:00","Bayview Hunters Point","Missing Person","Missing Person","Open or Active","Bayview","Missing Adult","240231237"
"2024-04-12 00:00:00","2024-04-12 12:55:00","South of Market","Assault","Assault","Cite or Arrest Adult","Tenderloin","Battery","240229759"
"2024-04-12 00:00:00","2024-04-12 13:00:00","South of Market","Larceny Theft","Larceny Theft","Open or Active","Southern","License Plate, Stolen","240230596"
"2024-04-12 00:00:00","2024-04-12 13:00:00","Portola","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","240230706"
"2024-04-12 00:00:00","2024-04-12 13:11:00","Nob Hill","Disorderly Conduct","Disorderly Conduct","Cite or Arrest Adult","Central","Alcohol, Under Influence Of In Public Place","240229834"
"2024-04-12 00:00:00","2024-04-12 13:11:00","Nob Hill","Assault","Assault","Cite or Arrest Adult","Central","Battery","240229834"
"2024-04-12 00:00:00","2024-04-12 13:15:00","Tenderloin","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Other Property, $50-$200","246050114"
"2024-04-12 00:00:00","2024-04-12 13:25:00","Portola","Disorderly Conduct","Disorderly Conduct","Open or Active","Bayview","Terrorist Threats","240232172"
"2024-04-12 00:00:00","2024-04-12 13:25:00","Portola","Other Miscellaneous","Other Miscellaneous","Open or Active","Bayview","Extortion, Attempted","240232172"
"2024-04-12 00:00:00","2024-04-12 13:25:00","Portola","Suspicious Occ","Suspicious Occ","Open or Active","Bayview","Suspicious Occurrence","240232172"
"2024-04-12 00:00:00","2024-04-12 13:26:00","Mission Bay","Recovered Vehicle","Recovered Vehicle","Open or Active","Southern","Vehicle, Recovered, Auto","240222634"
"2024-04-12 00:00:00","2024-04-12 14:00:00","Twin Peaks","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Locked Vehicle, >$950","240230972"
"2024-04-12 00:00:00","2024-04-12 14:00:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Unlocked Vehicle, >$950","246050051"
"2024-04-12 00:00:00","2024-04-12 14:00:00","Lakeshore","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, Att.","240230013"
"2024-04-12 00:00:00","2024-04-12 14:01:00","Excelsior","Other","Other","Open or Active","Ingleside","Death Report, Cause Unknown","240230132"
"2024-04-12 00:00:00","2024-04-12 14:15:00","Bernal Heights","Larceny Theft","Larceny Theft","Open or Active","Ingleside","Theft, From Unlocked Vehicle, >$950","246050186"
"2024-04-12 00:00:00","2024-04-12 14:30:00","Chinatown","Suspicious Occ","Suspicious Occ","Open or Active","Central","Suspicious Occurrence","240230756"
"2024-04-12 00:00:00","2024-04-12 14:30:00","Bayview Hunters Point","Missing Person","Missing Person","Open or Active","Bayview","Missing Adult","240230568"
"2024-04-12 00:00:00","2024-04-12 14:30:00","Bayview Hunters Point","Missing Person","Missing Person","Open or Active","Bayview","Found Person","240230568"
"2024-04-12 00:00:00","2024-04-12 14:35:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, Shoplifting, >$950","240230079"
"2024-04-12 00:00:00","2024-04-12 14:50:00","Tenderloin","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Tenderloin","Vehicle, Stolen, Auto","240229975"
"2024-04-12 00:00:00","2024-04-12 14:59:00","South of Market","Assault","Assault","Open or Active","Southern","Battery","240197952"
"2024-04-12 00:00:00","2024-04-12 15:00:00","Outer Mission","Courtesy Report","Courtesy Report","Open or Active","Out of SF","Courtesy Report","240229464"
"2024-04-12 00:00:00","2024-04-12 15:00:00","Hayes Valley","Assault","Assault","Cite or Arrest Adult","Northern","False Imprisonment","240230267"
"2024-04-12 00:00:00","2024-04-12 15:00:00","Outer Mission","Missing Person","Missing Person","Open or Active","Out of SF","Found Person","240229464"
"2024-04-12 00:00:00","2024-04-12 15:00:00","Hayes Valley","Sex Offense","Sex Offense","Cite or Arrest Adult","Northern","Indecent Exposure (Adult victim)","240230267"
"2024-04-12 00:00:00","2024-04-12 15:00:00","Bernal Heights","Burglary","Burglary","Open or Active","Ingleside","Burglary, Apartment House, Unlawful Entry","240231425"
"2024-04-12 00:00:00","2024-04-12 15:05:00","Bernal Heights","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Vandalism to Property","246050205"
"2024-04-12 00:00:00","2024-04-12 15:30:00","Bayview Hunters Point","Other Miscellaneous","Other Miscellaneous","Open or Active","Bayview","Driving, Reckless","240230320"
"2024-04-12 00:00:00","2024-04-12 15:48:00","Western Addition","Larceny Theft","Larceny Theft","Cite or Arrest Adult","Northern","Theft, Shoplifting, $50-$200","240230085"
"2024-04-12 00:00:00","2024-04-12 15:50:00","Western Addition","Offences Against The Family And Children","Offences Against The Family And Children","Open or Active","Northern","Violation of Restraining Order","240230524"
"2024-04-12 00:00:00","2024-04-12 16:00:00","Russian Hill","Vandalism","Vandalism","Open or Active","Central","Vehicle, Tampering","240233675"
"2024-04-12 00:00:00","2024-04-12 16:00:00","Twin Peaks","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Building, <$50","240231964"
"2024-04-12 00:00:00","2024-04-12 16:03:00","Inner Sunset","Warrant","Warrant","Cite or Arrest Adult","Taraval","Warrant Arrest, Enroute To Outside Jurisdiction","240230198"
"2024-04-12 00:00:00","2024-04-12 16:05:00","Western Addition","Larceny Theft","Larceny Theft","Cite or Arrest Adult","Northern","Theft, Shoplifting, <$50","240230154"
"2024-04-12 00:00:00","2024-04-12 16:05:00","Haight Ashbury","Non-Criminal","Non-Criminal","Open or Active","Park","Dog, Bite or Attack","240230314"
"2024-04-12 00:00:00","2024-04-12 16:10:00","Excelsior","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Vandalism to Property","246050192"
"2024-04-12 00:00:00","2024-04-12 16:10:00","Pacific Heights","Non-Criminal","Non-Criminal","Open or Active","Northern","Mental Health Detention","240230176"
"2024-04-12 00:00:00","2024-04-12 16:15:00","Sunset/Parkside","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Taraval","Vehicle, Stolen, Attempted","240230336"
"2024-04-12 00:00:00","2024-04-12 16:16:00","Potrero Hill","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Truck","240229862"
"2024-04-12 00:00:00","2024-04-12 16:20:00","Western Addition","Larceny Theft","Larceny Theft","Cite or Arrest Adult","Northern","Theft, Shoplifting, <$50","240230217"
"2024-04-12 00:00:00","2024-04-12 17:00:00","Oceanview/Merced/Ingleside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, <$50","240231328"
"2024-04-12 00:00:00","2024-04-12 17:00:00","Russian Hill","Assault","Assault","Open or Active","Northern","Battery","240230358"
"2024-04-12 00:00:00","2024-04-12 17:00:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Mission","Vehicle, Stolen, Truck","240232780"
"2024-04-12 00:00:00","2024-04-12 17:00:00","West of Twin Peaks","Assault","Assault","Open or Active","Ingleside","Battery","240230580"
"2024-04-12 00:00:00","2024-04-12 17:27:00","Bayview Hunters Point","Assault","Assault","Cite or Arrest Adult","Bayview","Battery, former Spouse or Dating Relationship","240230370"
"2024-04-12 00:00:00","2024-04-12 17:30:00","Chinatown","Non-Criminal","Non-Criminal","Open or Active","Central","Found  Property","240230671"
"2024-04-12 00:00:00","2024-04-12 17:45:00","Bayview Hunters Point","Assault","Assault","Open or Active","Bayview","Assault, Aggravated, W/ Other Weapon","240230405"
"2024-04-12 00:00:00","2024-04-12 17:56:00","Bayview Hunters Point","Assault","Assault","Open or Active","Bayview","Battery","240230637"
"2024-04-12 00:00:00","2024-04-12 18:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, Other Property, $200-$950","240230615"
"2024-04-12 00:00:00","2024-04-12 18:00:00","Potrero Hill","Burglary","Burglary","Open or Active","Bayview","Burglary, Apartment House, Unlawful Entry","240233669"
"2024-04-12 00:00:00","2024-04-12 18:00:00","West of Twin Peaks","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Auto","240231641"
"2024-04-12 00:00:00","2024-04-12 18:00:00","Bernal Heights","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen & Recovered","240231500"
"2024-04-12 00:00:00","2024-04-12 18:26:00","Nob Hill","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Investigative Detention","240230477"
"2024-04-12 00:00:00","2024-04-12 18:30:00","West of Twin Peaks","Burglary","Burglary","Open or Active","Ingleside","Burglary, Apartment House, Att. Forcible Entry","240230897"
"2024-04-12 00:00:00","2024-04-12 18:36:00","Mission Bay","Forgery And Counterfeiting","Forgery And Counterfeiting","Cite or Arrest Adult","Southern","Vehicle Registration, False Evidence of","240230546"
"2024-04-12 00:00:00","2024-04-12 18:36:00","Mission Bay","Vehicle Impounded","Vehicle Impounded","Cite or Arrest Adult","Southern","Vehicle, Impounded","240230546"
"2024-04-12 00:00:00","2024-04-12 18:36:00","Mission Bay","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Southern","Traffic Violation Arrest","240230546"
"2024-04-12 00:00:00","2024-04-12 18:42:00","Outer Richmond","Other Miscellaneous","Other Miscellaneous","Open or Active","Richmond","Trespassing","240230518"
"2024-04-12 00:00:00","2024-04-12 18:42:00","Outer Richmond","Other Miscellaneous","Other Miscellaneous","Open or Active","Richmond","Investigative Detention","240230518"
"2024-04-12 00:00:00","2024-04-12 18:45:00","North Beach","Weapons Offense","Weapons Offense","Cite or Arrest Adult","Central","Weapon, Deadly, Imitation or Laser Scope, Exhibiting","240230502"
"2024-04-12 00:00:00","2024-04-12 18:50:00","Western Addition","Non-Criminal","Non-Criminal","Open or Active","Northern","Aided Case, Injured or Sick Person","240230530"
"2024-04-12 00:00:00","2024-04-12 19:00:00","Hayes Valley","Malicious Mischief","Malicious Mischief","Open or Active","Northern","Malicious Mischief, Vandalism to Property","246050330"
"2024-04-12 00:00:00","2024-04-12 19:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Cite or Arrest Adult","Central","Theft, From Unlocked Vehicle, Att.","240230621"
"2024-04-12 00:00:00","2024-04-12 19:00:00","Outer Mission","Disorderly Conduct","Disorderly Conduct","Open or Active","Ingleside","Disturbing The Peace","240230916"
"2024-04-12 00:00:00","2024-04-12 19:00:00","Financial District/South Beach","Assault","Assault","Cite or Arrest Adult","Central","Battery","240230621"
"2024-04-12 00:00:00","2024-04-12 19:00:00","Nob Hill","Malicious Mischief","Malicious Mischief","Open or Active","Central","Malicious Mischief, Vandalism to Vehicle","240231390"
"2024-04-12 00:00:00","2024-04-12 19:30:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, $200-$950","240230803"
"2024-04-12 00:00:00","2024-04-12 20:00:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","240232213"
"2024-04-12 00:00:00","2024-04-12 20:00:00","South of Market","Malicious Mischief","Malicious Mischief","Open or Active","Southern","Malicious Mischief, Vandalism to Vehicle","240231243"
"2024-04-12 00:00:00","2024-04-12 20:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","246050170"
"2024-04-12 00:00:00","2024-04-12 20:05:00","Hayes Valley","Fraud","Fraud","Open or Active","Northern","Fraudulent Game or Trick, Obtaining Money or Property","240227703"
"2024-04-12 00:00:00","2024-04-12 20:08:00","Bayview Hunters Point","Assault","Assault","Cite or Arrest Adult","Bayview","Assault, Aggravated, W/ Gun","240230665"
"2024-04-12 00:00:00","2024-04-12 20:08:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Bayview","Animal, Cruelty to","240230665"
"2024-04-12 00:00:00","2024-04-12 20:08:00","Bayview Hunters Point","Assault","Assault","Cite or Arrest Adult","Bayview","Assault, Att. Homicide, W/ Gun","240230665"
"2024-04-12 00:00:00","2024-04-12 20:11:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Bayview","Search Warrant Service","240230665"
"2024-04-12 00:00:00","2024-04-12 20:30:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","240230900"
"2024-04-12 00:00:00","2024-04-12 20:30:00","Nob Hill","Robbery","Robbery","Open or Active","Central","Shoplifting, Force against Agent","240230728"
"2024-04-12 00:00:00","2024-04-12 20:40:00","Western Addition","Recovered Vehicle","Recovered Vehicle","Open or Active","Northern","Vehicle, Recovered, Auto","240221103"
"2024-04-12 00:00:00","2024-04-12 21:00:00","Mission Bay","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Investigative Detention","240231447"
"2024-04-12 00:00:00","2024-04-12 21:00:00","West of Twin Peaks","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Auto","240231613"
"2024-04-12 00:00:00","2024-04-12 21:00:00","Western Addition","Burglary","Burglary","Open or Active","Northern","Burglary, Apartment House, Unlawful Entry","240231760"
"2024-04-12 00:00:00","2024-04-12 21:16:00","Bayview Hunters Point","Assault","Assault","Cite or Arrest Adult","Bayview","Assault, Att. Homicide, W/ Gun","240230665"
"2024-04-12 00:00:00","2024-04-12 21:16:00","Bayview Hunters Point","Assault","Assault","Cite or Arrest Adult","Bayview","Assault, Aggravated, W/ Gun","240230665"
"2024-04-12 00:00:00","2024-04-12 21:16:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Bayview","Animal, Cruelty to","240230665"
"2024-04-12 00:00:00","2024-04-12 21:30:00","West of Twin Peaks","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Auto","240231271"
"2024-04-12 00:00:00","2024-04-12 21:30:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","240230922"
"2024-04-12 00:00:00","2024-04-12 21:30:00","Sunset/Parkside","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Taraval","Vehicle, Stolen, Auto","240233512"
"2024-04-12 00:00:00","2024-04-12 21:30:00","Sunset/Parkside","Vehicle Misplaced","Vehicle Misplaced","Open or Active","Taraval","Vehicle, Misplaced","240233512"
"2024-04-12 00:00:00","2024-04-12 21:45:00","Oceanview/Merced/Ingleside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, $200-$950","240231312"
"2024-04-12 00:00:00","2024-04-12 21:45:00","Oceanview/Merced/Ingleside","Malicious Mischief","Malicious Mischief","Open or Active","Taraval","Malicious Mischief, Vandalism to Vehicle","240231306"
"2024-04-12 00:00:00","2024-04-12 21:49:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Narcotics Paraphernalia, Possession of","240230825"
"2024-04-12 00:00:00","2024-04-12 21:49:00","Tenderloin","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Tenderloin","Traffic Violation Arrest","240230825"
"2024-04-12 00:00:00","2024-04-12 21:49:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To Outside Jurisdiction","240230825"
"2024-04-12 00:00:00","2024-04-12 21:50:00","Potrero Hill","Robbery","Robbery","Open or Active","Bayview","Robbery, Street or Public Place, W/ Gun","240230778"
"2024-04-12 00:00:00","2024-04-12 21:54:00","Japantown","Motor Vehicle Theft","Motor Vehicle Theft","Cite or Arrest Adult","Northern","Vehicle, Stolen & Recovered","240230790"
"2024-04-12 00:00:00","2024-04-12 21:54:00","Japantown","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Burglary Tools, Possession Of","240230790"
"2024-04-12 00:00:00","2024-04-12 21:54:00","Japantown","Stolen Property","Stolen Property","Cite or Arrest Adult","Northern","Stolen Property, Possession with Knowledge, Receiving","240230790"
"2024-04-12 00:00:00","2024-04-12 22:00:00","Western Addition","Lost Property","Lost Property","Open or Active","Northern","Lost Property","240232031"
"2024-04-12 00:00:00","2024-04-12 22:00:00","Sunset/Parkside","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Taraval","Vehicle, Stolen, Auto","240231403"
"2024-04-12 00:00:00","2024-04-12 22:12:00","Japantown","Motor Vehicle Theft","Motor Vehicle Theft","Cite or Arrest Adult","Northern","Vehicle, Stolen, Other Vehicle","240230790"
"2024-04-12 00:00:00","2024-04-12 22:15:00","Noe Valley","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Mission","Conspiracy","240230819"
"2024-04-12 00:00:00","2024-04-12 22:15:00","Noe Valley","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Mission","Burglary Tools, Possession Of","240230819"
"2024-04-12 00:00:00","2024-04-12 22:15:00","Noe Valley","Burglary","Burglary","Cite or Arrest Adult","Mission","Burglary, Other Bldg., Unlawful Entry","240230819"
"2024-04-12 00:00:00","2024-04-12 22:30:00","Chinatown","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","240231986"
"2024-04-12 00:00:00","2024-04-12 22:30:00","Sunset/Parkside","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Taraval","Vehicle, Stolen, Auto","240230944"
"2024-04-12 00:00:00","2024-04-12 22:30:00","Tenderloin","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Unlocked Vehicle, >$950","246050233"
"2024-04-12 00:00:00","2024-04-12 22:50:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Driving, License Suspended or Revoked","240230853"
"2024-04-12 00:00:00","2024-04-12 22:50:00","South of Market","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Tenderloin","Traffic Violation Arrest","240230853"
"2024-04-12 00:00:00","2024-04-12 22:54:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Local SF Warrant","240230831"
"2024-04-12 00:00:00","2024-04-12 23:00:00","Pacific Heights","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","246050346"
"2024-04-12 00:00:00","2024-04-12 23:00:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","246050249"
"2024-04-12 00:00:00","2024-04-12 23:00:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Unlocked Vehicle, >$950","246050227"
"2024-04-12 00:00:00","2024-04-12 23:01:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Methamphetamine, Possession For Sale","240230869"
"2024-04-12 00:00:00","2024-04-12 23:01:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Heroin, Possession For Sale","240230869"
"2024-04-12 00:00:00","2024-04-12 23:01:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Opiates, Possession For Sale","240230869"
"2024-04-12 00:00:00","2024-04-12 23:09:00","Excelsior","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen & Recovered","240230994"
"2024-04-12 00:00:00","2024-04-12 23:11:00","Tenderloin","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Northern","Traffic Violation Arrest","240230881"
"2024-04-12 00:00:00","2024-04-12 23:11:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Driving, No License Issued","240230881"
"2024-04-12 00:00:00","2024-04-12 23:12:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Opiates, Possession For Sale","240230869"
"2024-04-12 00:00:00","2024-04-12 23:12:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Methamphetamine, Possession For Sale","240230869"
"2024-04-12 00:00:00","2024-04-12 23:12:00","South of Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Heroin, Possession For Sale","240230869"
"2024-04-12 00:00:00","2024-04-12 23:18:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft of Computers or Cell Phones","240233380"
"2024-04-12 00:00:00","2024-04-12 23:18:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Person, >$950 (other than Pickpocket)","240233380"
"2024-04-12 00:00:00","2024-04-12 23:59:00","Outer Mission","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Ingleside","Traffic Violation Arrest","240230950"
"2024-04-12 00:00:00","2024-04-12 23:59:00","Outer Mission","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Ingleside","Driving While Under The Influence Of Alcohol","240230950"
"2024-04-13 00:00:00","2024-04-13 00:00:00","Lakeshore","Malicious Mischief","Malicious Mischief","Open or Active","Taraval","Malicious Mischief, Breaking Windows","240231293"
"2024-04-13 00:00:00","2024-04-13 00:00:00","Portola","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Tire Slashing","240231958"
"2024-04-13 00:00:00","2024-04-13 00:00:00","Castro/Upper Market","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, >$950","246050421"
"2024-04-13 00:00:00","2024-04-13 00:00:00","Bayview Hunters Point","Larceny Theft","Larceny Theft","Open or Active","Bayview","License Plate, Stolen","240233982"
"2024-04-13 00:00:00","2024-04-13 00:30:00","Sunset/Parkside","Burglary","Burglary","Open or Active","Taraval","Burglary, Hot Prowl, Forcible Entry","240231691"
"2024-04-13 00:00:00","2024-04-13 00:30:00","South of Market","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Investigative Detention","240230938"
"2024-04-13 00:00:00","2024-04-13 00:40:00","Outer Mission","Burglary","Burglary","Open or Active","Ingleside","Burglary, Residence, Unlawful Entry","240231130"
"2024-04-13 00:00:00","2024-04-13 00:45:00","Bayview Hunters Point","Larceny Theft","Larceny Theft","Open or Active","Bayview","Theft, Lost Property, Grand","240234930"
"2024-04-13 00:00:00","2024-04-13 01:00:00","Western Addition","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","246050255"
"2024-04-13 00:00:00","2024-04-13 01:02:00","Hayes Valley","Burglary","Burglary","Open or Active","Northern","Burglary, Apartment House, Unlawful Entry","240233841"
"2024-04-13 00:00:00","2024-04-13 01:02:00","Hayes Valley","Robbery","Robbery","Open or Active","Northern","Robbery, W/ Knife","240233841"
"2024-04-13 00:00:00","2024-04-13 01:02:00","Hayes Valley","Non-Criminal","Non-Criminal","Open or Active","Northern","Found  Property","240233841"
"2024-04-13 00:00:00","2024-04-13 01:05:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Bayview","Aided Case","240230966"
"2024-04-13 00:00:00","2024-04-13 01:18:00","Western Addition","Assault","Assault","Cite or Arrest Adult","Northern","False Imprisonment","240231049"
"2024-04-13 00:00:00","2024-04-13 01:18:00","Western Addition","Assault","Assault","Cite or Arrest Adult","Northern","Battery","240231049"
"2024-04-13 00:00:00","2024-04-13 01:20:00","Inner Richmond","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Richmond","Malicious Mischief, Graffiti, Real or Personal Property","240231011"
"2024-04-13 00:00:00","2024-04-13 01:20:00","Inner Richmond","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Richmond","Vandalism or Graffiti Tools, Possession","240231011"
"2024-04-13 00:00:00","2024-04-13 01:20:00","Inner Richmond","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Richmond","Conspiracy","240231011"
"2024-04-13 00:00:00","2024-04-13 01:36:00","Tenderloin","Drug Offense","Drug Offense","Open or Active","Tenderloin","Opiates Offense","240231005"
"2024-04-13 00:00:00","2024-04-13 02:00:00","North Beach","Suspicious Occ","Suspicious Occ","Open or Active","Central","Suspicious Occurrence","240231083"
"2024-04-13 00:00:00","2024-04-13 02:00:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Mission","Vehicle, Stolen, Auto","240231920"
"2024-04-13 00:00:00","2024-04-13 02:00:00","Visitacion Valley","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Vandalism to Vehicle","240231055"
